user_id,activity_type,activity_energy_level,current_energy_level,predicted_score
user_00011,mood,55.2,70.6,63.8
user_00011,mood,63.2,63.8,60.0
user_00011,music,67.7,60.0,61.3
user_00011,music,68.5,61.3,60.0
user_00011,meditation,57.1,60.0,67.0
user_00011,community,58.7,67.0,66.8
user_00011,mood,70.2,66.8,49.7
user_00011,community,73.8,49.7,48.6
user_00011,meditation,67.1,48.6,58.1
user_00011,meditation,73.0,58.1,62.2
user_00011,music,78.2,62.2,63.4
user_00012,music,64.0,51.5,61.4
user_00012,journal,74.5,61.4,65.9
user_00012,meditation,99.6,65.9,68.7
user_00012,mood,64.9,68.7,74.0
user_00012,mood,57.5,74.0,73.3
user_00012,community,65.4,73.3,77.1
user_00012,meditation,71.4,77.1,78.1
user_00012,journal,51.7,78.1,75.0
user_00013,journal,73.0,77.3,73.9
user_00013,mood,53.0,73.9,76.4
user_00013,meditation,82.6,76.4,76.7
user_00013,meditation,73.9,76.7,77.7
user_00013,community,61.0,77.7,75.2
user_00013,mood,52.8,75.2,68.1
user_00013,mood,34.3,68.1,62.2
user_00013,music,71.5,62.2,60.5
user_00013,music,88.2,60.5,65.0
user_00013,journal,52.1,65.0,69.3
user_00013,meditation,88.9,69.3,72.6
user_00014,mood,47.0,20.1,25.1
user_00014,meditation,68.6,25.1,40.3
user_00014,journal,61.5,40.3,44.2
user_00015,mood,54.3,73.6,63.7
user_00015,journal,50.9,63.7,63.9
user_00015,journal,57.4,63.9,65.3
user_00015,meditation,82.2,65.3,70.9
user_00015,journal,44.8,70.9,60.9
user_00015,music,66.9,60.9,63.1
user_00015,mood,39.9,63.1,56.8
user_00015,journal,64.7,56.8,50.4
user_00015,music,65.2,50.4,46.3
user_00015,journal,43.0,46.3,42.8
user_00015,meditation,79.8,42.8,54.1
user_00016,journal,91.7,61.8,74.7
user_00016,meditation,79.1,74.7,76.2
user_00016,community,64.0,76.2,74.1
user_00016,meditation,66.3,74.1,70.2
user_00016,meditation,82.5,70.2,79.5
user_00016,journal,58.2,79.5,78.4
user_00016,mood,56.0,78.4,77.6
user_00016,meditation,54.1,77.6,68.1
user_00017,mood,60.0,55.0,57.4
user_00017,community,67.9,57.4,59.9
user_00017,meditation,72.0,59.9,59.7
user_00017,music,71.2,59.7,57.9
user_00017,mood,56.9,57.9,61.2
user_00017,journal,78.6,61.2,52.7
user_00017,mood,61.4,52.7,49.7
user_00018,mood,49.1,68.7,73.6
user_00018,meditation,76.6,73.6,71.8
user_00018,meditation,79.3,71.8,64.1
user_00018,meditation,45.3,64.1,51.5
user_00018,journal,60.4,51.5,52.4
user_00018,meditation,90.6,52.4,66.5
user_00018,mood,43.9,66.5,55.9
user_00019,journal,69.2,45.9,49.7
user_00019,mood,45.0,49.7,41.4
user_00019,music,57.7,41.4,43.4
user_00020,meditation,79.7,36.3,48.2
user_00020,journal,47.6,48.2,50.7
user_00020,journal,65.4,50.7,52.5
user_00021,meditation,83.4,43.0,56.8
user_00021,mood,51.1,56.8,55.8
user_00021,meditation,85.2,55.8,69.2
user_00021,meditation,84.7,69.2,77.3
user_00021,music,80.6,77.3,74.9
user_00021,meditation,71.3,74.9,71.0
user_00021,mood,43.6,71.0,68.1
user_00021,meditation,83.5,68.1,67.8
user_00021,meditation,71.3,67.8,71.6
user_00021,journal,62.7,71.6,66.6
user_00022,meditation,58.8,41.5,42.8
user_00022,community,58.2,42.8,47.1
user_00022,meditation,76.1,47.1,56.1
user_00022,journal,61.6,56.1,59.0
user_00022,mood,40.8,59.0,60.4
user_00022,community,54.2,60.4,61.4
user_00022,journal,72.9,61.4,67.1
user_00022,community,52.1,67.1,62.8
user_00022,mood,48.2,62.8,59.9
user_00022,journal,50.5,59.9,52.8
user_00023,mood,68.7,69.6,68.6
user_00023,mood,55.3,68.6,67.4
user_00023,mood,73.3,67.4,58.9
user_00023,mood,59.2,58.9,62.3
user_00024,meditation,63.9,29.7,43.3
user_00024,mood,87.8,43.3,62.2
user_00024,journal,63.1,62.2,58.9
user_00024,community,75.5,58.9,64.8
user_00024,music,65.2,64.8,67.3
user_00024,meditation,84.7,67.3,76.5
user_00024,meditation,77.8,76.5,74.7
user_00024,mood,57.8,74.7,77.8
user_00025,meditation,64.5,27.9,34.9
user_00025,mood,55.9,34.9,37.0
user_00025,mood,45.2,37.0,39.7
user_00025,meditation,76.8,39.7,52.9
user_00025,music,59.2,52.9,46.8
user_00025,meditation,86.4,46.8,57.8
user_00025,community,58.5,57.8,52.7
user_00025,mood,52.9,52.7,58.5
user_00025,journal,78.6,58.5,73.9
user_00026,journal,59.6,61.1,68.9
user_00026,mood,57.1,68.9,67.6
user_00026,mood,66.1,67.6,71.1
user_00026,meditation,86.0,71.1,76.7
user_00026,meditation,54.6,76.7,68.9
user_00026,journal,53.6,68.9,73.8
user_00026,community,70.8,73.8,78.9
user_00026,meditation,60.8,78.9,78.0
user_00026,mood,37.9,78.0,73.7
user_00026,meditation,75.9,73.7,69.6
user_00026,music,51.8,69.6,63.5
user_00027,mood,61.8,42.8,47.3
user_00027,meditation,65.7,47.3,55.8
user_00027,meditation,52.6,55.8,45.8
user_00027,mood,73.1,45.8,55.3
user_00027,journal,56.6,55.3,63.7
user_00027,community,76.9,63.7,67.3
user_00028,community,79.4,44.6,61.1
user_00028,mood,41.1,61.1,52.8
user_00028,journal,28.1,52.8,47.9
user_00028,journal,48.9,47.9,53.4
user_00028,mood,39.0,53.4,51.4
user_00028,journal,46.5,51.4,45.3
user_00029,meditation,72.1,78.0,75.5
user_00029,music,67.9,75.5,80.8
user_00029,community,72.2,80.8,73.8
user_00030,journal,56.7,34.2,40.0
user_00030,journal,57.2,40.0,32.6
user_00030,meditation,80.6,32.6,46.8
user_00030,community,77.7,46.8,48.4
user_00030,journal,67.4,48.4,52.3
user_00030,meditation,68.8,52.3,58.6
user_00030,meditation,63.6,58.6,61.0
user_00030,mood,33.7,61.0,58.5
user_00031,meditation,61.4,56.6,53.0
user_00031,journal,51.2,53.0,55.7
user_00031,meditation,79.4,55.7,64.5
user_00031,mood,70.2,64.5,55.6
user_00031,mood,58.7,55.6,56.4
user_00031,mood,42.6,56.4,54.1
user_00031,meditation,75.5,54.1,63.9
user_00032,journal,76.1,32.8,31.1
user_00032,community,57.6,31.1,32.6
user_00032,meditation,92.1,32.6,45.1
user_00032,meditation,89.9,45.1,62.0
user_00032,meditation,53.5,62.0,64.9
user_00032,music,87.0,64.9,73.0
user_00032,community,90.9,73.0,72.4
user_00032,community,48.3,72.4,63.8
user_00032,meditation,100.0,63.8,74.0
user_00032,mood,69.4,74.0,66.4
user_00033,journal,54.3,73.7,65.1
user_00033,community,46.8,65.1,60.3
user_00033,music,47.7,60.3,55.6
user_00033,meditation,62.2,55.6,53.3
user_00033,journal,55.1,53.3,60.1
user_00034,music,75.9,29.7,32.3
user_00034,mood,43.0,32.3,24.5
user_00034,community,76.4,24.5,28.0
user_00034,meditation,63.6,28.0,40.2
user_00034,meditation,64.2,40.2,45.9
user_00035,community,52.3,40.0,56.2
user_00035,mood,48.7,56.2,54.4
user_00035,mood,51.0,54.4,54.9
user_00035,music,80.9,54.9,60.6
user_00035,meditation,86.6,60.6,73.7
user_00035,meditation,84.4,73.7,70.7
user_00035,mood,34.1,70.7,77.5
user_00036,community,69.2,63.6,63.3
user_00036,community,81.3,63.3,69.3
user_00036,mood,34.4,69.3,59.6
user_00036,meditation,77.8,59.6,63.5
user_00036,meditation,70.5,63.5,65.2
user_00036,mood,50.7,65.2,59.5
user_00036,journal,65.5,59.5,65.7
user_00037,meditation,68.8,27.2,44.0
user_00037,community,52.1,44.0,45.8
user_00037,community,61.0,45.8,46.3
user_00037,meditation,72.7,46.3,55.2
user_00037,journal,41.9,55.2,56.1
user_00037,journal,70.3,56.1,55.2
user_00037,mood,53.5,55.2,54.2
user_00037,community,80.7,54.2,62.6
user_00037,community,74.8,62.6,64.4
user_00037,mood,30.5,64.4,54.7
user_00038,journal,62.1,52.8,45.5
user_00038,mood,32.7,45.5,34.8
user_00038,meditation,75.9,34.8,52.7
user_00038,meditation,83.2,52.7,70.2
user_00038,community,67.8,70.2,67.6
user_00038,community,58.0,67.6,72.6
user_00039,community,30.8,26.9,28.0
user_00039,journal,68.4,28.0,41.8
user_00039,journal,58.0,41.8,39.3
user_00039,community,70.4,39.3,45.2
user_00040,music,64.5,52.0,49.6
user_00040,meditation,88.0,49.6,65.3
user_00040,journal,63.4,65.3,59.9
user_00040,journal,57.1,59.9,63.6
user_00040,mood,49.8,63.6,57.0
user_00041,journal,57.7,41.6,41.6
user_00041,mood,43.9,41.6,40.4
user_00041,community,53.7,40.4,41.9
user_00042,meditation,80.4,59.1,68.0
user_00042,journal,39.6,68.0,70.4
user_00042,mood,34.1,70.4,67.5
user_00043,meditation,68.1,27.5,39.3
user_00043,community,65.8,39.3,33.8
user_00043,mood,74.6,33.8,38.3
user_00043,community,69.7,38.3,47.0
user_00043,mood,69.4,47.0,47.6
user_00043,community,52.7,47.6,42.7
user_00043,music,96.0,42.7,51.9
user_00043,music,76.4,51.9,55.5
user_00043,journal,67.4,55.5,59.4
user_00043,meditation,81.1,59.4,67.2
user_00044,journal,37.7,64.1,70.3
user_00044,community,56.2,70.3,64.2
user_00044,meditation,78.8,64.2,66.0
user_00044,music,72.3,66.0,67.9
user_00044,mood,65.5,67.9,66.7
user_00044,community,85.7,66.7,75.8
user_00044,mood,52.5,75.8,71.7
user_00044,music,63.0,71.7,70.3
user_00044,journal,72.7,70.3,75.9
user_00045,meditation,84.7,61.8,67.4
user_00045,mood,42.9,67.4,60.8
user_00045,meditation,69.9,60.8,61.5
user_00045,meditation,46.4,61.5,54.8
user_00045,mood,35.1,54.8,59.6
user_00046,community,74.3,31.9,46.2
user_00046,journal,55.3,46.2,49.6
user_00046,journal,67.7,49.6,54.9
user_00046,mood,60.4,54.9,54.7
user_00046,community,64.3,54.7,50.6
user_00046,community,65.8,50.6,59.3
user_00047,mood,51.0,26.1,33.8
user_00047,meditation,57.2,33.8,45.5
user_00047,music,96.1,45.5,48.2
user_00047,mood,48.4,48.2,38.6
user_00047,music,77.8,38.6,41.9
user_00047,mood,62.8,41.9,35.8
user_00048,meditation,61.1,45.0,47.5
user_00048,mood,64.2,47.5,49.0
user_00048,mood,65.8,49.0,49.8
user_00048,community,81.7,49.8,59.3
user_00048,community,62.8,59.3,56.0
user_00048,music,53.0,56.0,55.6
user_00048,meditation,76.5,55.6,69.1
user_00048,journal,40.6,69.1,66.1
user_00048,meditation,57.3,66.1,63.5
user_00048,community,51.1,63.5,54.5
user_00048,meditation,75.5,54.5,69.3
user_00049,meditation,74.1,63.3,59.6
user_00049,journal,59.6,59.6,59.9
user_00049,community,83.6,59.9,70.1
user_00049,community,78.0,70.1,69.9
user_00049,community,67.6,69.9,64.4
user_00049,meditation,69.8,64.4,69.6
user_00049,mood,59.3,69.6,65.8
user_00049,mood,60.1,65.8,63.3
user_00049,journal,53.3,63.3,59.2
user_00050,music,73.5,53.4,54.2
user_00050,mood,66.1,54.2,50.0
user_00050,mood,27.4,50.0,51.3
user_00050,mood,52.1,51.3,54.9
user_00050,mood,64.7,54.9,58.6
user_00050,mood,69.1,58.6,48.0
user_00050,meditation,71.8,48.0,62.5
user_00051,meditation,83.4,65.4,70.3
user_00051,music,72.4,70.3,83.7
user_00051,mood,60.1,83.7,89.1
user_00051,music,66.5,89.1,80.2
user_00051,meditation,67.2,80.2,74.9
user_00052,mood,72.7,62.8,72.1
user_00052,mood,52.5,72.1,75.2
user_00052,meditation,72.4,75.2,57.9
user_00052,meditation,66.3,57.9,70.0
user_00052,community,77.4,70.0,74.2
user_00053,mood,73.3,71.8,73.1
user_00053,community,63.3,73.1,74.8
user_00053,mood,43.7,74.8,74.9
user_00053,journal,58.3,74.9,71.1
user_00053,journal,55.5,71.1,65.7
user_00054,community,68.9,28.7,47.9
user_00054,music,80.5,47.9,48.6
user_00054,mood,40.5,48.6,49.8
user_00054,mood,51.9,49.8,52.5
user_00054,music,83.8,52.5,64.2
user_00054,journal,59.3,64.2,59.1
user_00054,community,76.5,59.1,57.7
user_00054,journal,50.0,57.7,59.2
user_00054,journal,58.1,59.2,59.9
user_00055,mood,56.3,77.6,75.6
user_00055,community,82.6,75.6,81.9
user_00055,journal,48.9,81.9,81.4
user_00055,journal,75.9,81.4,82.0
user_00055,mood,67.7,82.0,77.2
user_00055,mood,68.8,77.2,79.2
user_00055,meditation,81.1,79.2,75.6
user_00055,music,76.1,75.6,81.0
user_00055,meditation,91.8,81.0,84.3
user_00055,community,54.1,84.3,80.2
user_00056,music,76.7,34.1,46.5
user_00056,meditation,66.9,46.5,53.9
user_00056,meditation,76.1,53.9,57.5
user_00057,community,72.2,48.3,56.2
user_00057,mood,42.7,56.2,55.1
user_00057,mood,55.2,55.1,51.5
user_00057,journal,47.0,51.5,50.4
user_00057,meditation,76.7,50.4,58.3
user_00057,music,71.0,58.3,57.9
user_00057,community,53.2,57.9,58.9
user_00057,mood,47.6,58.9,56.9
user_00057,community,41.1,56.9,54.6
user_00058,meditation,63.4,66.3,65.3
user_00058,community,53.5,65.3,66.1
user_00058,meditation,79.8,66.1,70.0
user_00058,journal,52.1,70.0,73.3
user_00059,mood,63.2,70.9,76.4
user_00059,community,43.9,76.4,70.7
user_00059,meditation,70.5,70.7,77.9
user_00059,journal,59.8,77.9,83.1
user_00059,mood,59.5,83.1,77.2
user_00059,meditation,87.5,77.2,82.5
user_00059,journal,65.6,82.5,82.5
user_00059,meditation,62.1,82.5,89.9
user_00059,journal,71.8,89.9,92.5
user_00059,mood,53.1,92.5,86.4
user_00060,mood,61.4,57.5,49.5
user_00060,journal,62.4,49.5,50.1
user_00060,meditation,64.4,50.1,53.6
user_00060,meditation,75.3,53.6,64.6
user_00060,meditation,82.5,64.6,75.2
user_00060,journal,67.2,75.2,75.5
user_00060,music,52.1,75.5,75.6
user_00061,mood,42.9,55.6,52.0
user_00061,meditation,59.4,52.0,56.4
user_00061,meditation,56.3,56.4,63.7
user_00061,community,40.5,63.7,60.0
user_00061,journal,37.7,60.0,68.1
user_00061,mood,71.0,68.1,59.6
user_00061,music,61.9,59.6,58.3
user_00061,journal,59.2,58.3,61.5
user_00062,music,61.8,79.9,71.8
user_00062,journal,49.7,71.8,74.9
user_00062,journal,50.1,74.9,73.5
user_00062,journal,56.0,73.5,75.2
user_00062,mood,51.6,75.2,63.3
user_00062,meditation,75.3,63.3,72.0
user_00062,community,40.6,72.0,63.3
user_00062,community,56.1,63.3,56.2
user_00062,community,84.2,56.2,64.3
user_00062,meditation,67.3,64.3,62.0
user_00063,journal,82.4,66.6,67.8
user_00063,meditation,68.8,67.8,60.7
user_00063,meditation,63.4,60.7,65.3
user_00063,mood,51.1,65.3,57.1
user_00063,music,78.3,57.1,60.0
user_00063,mood,55.5,60.0,51.3
user_00063,mood,59.0,51.3,48.7
user_00063,meditation,62.8,48.7,57.3
user_00063,mood,57.2,57.3,61.9
user_00063,mood,44.4,61.9,58.4
user_00063,mood,43.4,58.4,57.0
user_00064,meditation,86.5,32.9,42.4
user_00064,mood,55.3,42.4,42.0
user_00064,mood,55.7,42.0,50.1
user_00064,meditation,78.3,50.1,59.6
user_00064,mood,38.0,59.6,58.6
user_00064,music,56.6,58.6,65.1
user_00064,mood,54.6,65.1,66.8
user_00064,music,77.2,66.8,80.1
user_00064,meditation,82.0,80.1,75.4
user_00064,music,73.9,75.4,62.9
user_00064,journal,57.9,62.9,63.8
user_00065,meditation,72.1,63.4,66.5
user_00065,community,55.4,66.5,64.8
user_00065,community,70.8,64.8,67.2
user_00065,journal,77.7,67.2,68.4
user_00065,meditation,51.5,68.4,58.1
user_00065,meditation,75.1,58.1,67.5
user_00066,meditation,61.8,50.4,64.3
user_00066,mood,42.8,64.3,66.3
user_00066,journal,72.2,66.3,72.6
user_00066,community,87.7,72.6,76.4
user_00066,community,61.2,76.4,70.6
user_00066,journal,52.2,70.6,67.9
user_00066,music,76.5,67.9,60.2
user_00066,mood,58.6,60.2,56.4
user_00066,mood,82.6,56.4,59.5
user_00067,music,63.5,49.0,54.3
user_00067,community,58.4,54.3,54.4
user_00067,meditation,81.3,54.4,60.0
user_00067,meditation,53.6,60.0,56.3
user_00067,journal,92.3,56.3,66.6
user_00067,meditation,55.6,66.6,58.4
user_00067,music,86.2,58.4,65.6
user_00067,meditation,62.8,65.6,62.8
user_00067,meditation,56.9,62.8,61.7
user_00067,mood,67.5,61.7,60.9
user_00067,community,66.9,60.9,69.6
user_00068,mood,73.1,73.1,71.9
user_00068,meditation,86.0,71.9,70.4
user_00068,mood,48.5,70.4,72.0
user_00068,mood,81.2,72.0,78.2
user_00068,meditation,89.3,78.2,83.4
user_00068,meditation,98.6,83.4,98.3
user_00068,meditation,53.7,98.3,82.2
user_00068,meditation,63.3,82.2,70.0
user_00069,meditation,66.5,65.8,66.4
user_00069,meditation,62.1,66.4,63.6
user_00069,meditation,70.0,63.6,64.9
user_00069,mood,69.2,64.9,59.3
user_00069,community,57.5,59.3,58.8
user_00069,journal,49.1,58.8,58.7
user_00069,music,90.8,58.7,57.9
user_00069,meditation,70.2,57.9,65.4
user_00070,mood,41.5,34.9,31.1
user_00070,music,65.5,31.1,40.5
user_00070,community,65.9,40.5,43.0
user_00070,community,58.5,43.0,43.8
user_00070,community,66.3,43.8,48.5
user_00070,mood,51.1,48.5,48.3
user_00070,journal,58.9,48.3,45.1
user_00070,meditation,78.1,45.1,53.9
user_00070,music,74.4,53.9,45.5
user_00070,meditation,73.9,45.5,57.3
user_00070,meditation,76.2,57.3,66.6
user_00071,meditation,61.1,46.8,60.0
user_00071,meditation,61.9,60.0,59.9
user_00071,journal,59.9,59.9,58.7
user_00072,meditation,85.6,69.9,75.7
user_00072,meditation,83.3,75.7,79.0
user_00072,music,84.1,79.0,86.5
user_00072,mood,30.1,86.5,77.4
user_00072,mood,58.2,77.4,74.9
user_00072,journal,65.9,74.9,73.2
user_00072,journal,64.1,73.2,66.8
user_00072,community,64.8,66.8,74.1
user_00073,journal,64.5,61.0,61.6
user_00073,mood,57.9,61.6,60.6
user_00073,mood,58.4,60.6,69.7
user_00073,journal,48.9,69.7,59.4
user_00073,journal,51.6,59.4,59.0
user_00073,mood,66.2,59.0,62.3
user_00073,meditation,68.4,62.3,57.4
user_00074,mood,52.9,23.5,31.8
user_00074,meditation,68.3,31.8,48.1
user_00074,meditation,53.6,48.1,58.2
user_00075,mood,44.2,27.2,21.6
user_00075,mood,46.1,21.6,23.0
user_00075,music,94.4,23.0,36.4
user_00076,community,67.9,72.0,73.4
user_00076,meditation,80.3,73.4,73.3
user_00076,mood,50.3,73.3,67.8
user_00076,journal,53.4,67.8,65.4
user_00076,meditation,50.0,65.4,62.9
user_00076,community,72.0,62.9,53.4
user_00076,journal,58.1,53.4,54.4
user_00076,community,79.2,54.4,60.9
user_00077,music,88.1,50.0,63.1
user_00077,community,62.6,63.1,64.6
user_00077,journal,58.1,64.6,75.3
user_00077,community,76.9,75.3,73.8
user_00077,community,50.7,73.8,64.5
user_00077,journal,64.8,64.5,71.7
user_00077,mood,61.2,71.7,76.2
user_00077,journal,31.6,76.2,75.9
user_00077,community,84.9,75.9,78.6
user_00078,mood,58.0,51.0,50.5
user_00078,meditation,59.1,50.5,65.2
user_00078,journal,68.9,65.2,65.8
user_00078,community,67.8,65.8,65.2
user_00078,meditation,76.0,65.2,71.1
user_00078,mood,57.5,71.1,75.4
user_00078,mood,37.2,75.4,69.5
user_00078,mood,41.7,69.5,62.9
user_00078,mood,75.1,62.9,65.5
user_00079,community,62.2,79.6,73.6
user_00079,mood,31.7,73.6,74.4
user_00079,meditation,100.0,74.4,78.4
user_00079,mood,41.2,78.4,68.6
user_00079,mood,62.4,68.6,68.5
user_00079,music,65.4,68.5,68.9
user_00079,community,64.1,68.9,74.1
user_00079,music,96.7,74.1,68.3
user_00079,meditation,78.1,68.3,78.2
user_00080,mood,58.7,50.0,42.5
user_00080,music,56.1,42.5,37.8
user_00080,mood,65.9,37.8,41.6
user_00080,music,73.2,41.6,46.2
user_00080,community,64.0,46.2,48.2
user_00080,mood,49.7,48.2,51.4
user_00080,meditation,58.0,51.4,47.9
user_00080,meditation,71.9,47.9,47.2
user_00080,journal,54.6,47.2,45.9
user_00080,meditation,74.1,45.9,58.6
user_00081,community,50.4,58.1,54.2
user_00081,mood,57.2,54.2,56.4
user_00081,mood,45.1,56.4,66.4
user_00081,mood,32.2,66.4,66.2
user_00082,music,56.5,49.3,52.2
user_00082,meditation,73.0,52.2,61.0
user_00082,community,56.3,61.0,61.6
user_00082,mood,54.1,61.6,62.5
user_00082,meditation,89.1,62.5,69.3
user_00082,community,68.6,69.3,65.5
user_00082,mood,61.8,65.5,67.9
user_00082,community,43.3,67.9,65.6
user_00082,journal,45.0,65.6,62.9
user_00082,mood,41.7,62.9,55.5
user_00083,mood,44.3,21.1,29.4
user_00083,meditation,73.6,29.4,48.0
user_00083,mood,56.6,48.0,56.6
user_00084,meditation,83.3,59.7,72.4
user_00084,community,55.6,72.4,73.6
user_00084,meditation,65.8,73.6,73.6
user_00084,community,46.2,73.6,74.6
user_00085,meditation,82.2,43.5,60.5
user_00085,journal,69.0,60.5,66.3
user_00085,mood,47.9,66.3,62.3
user_00086,mood,54.0,68.6,63.9
user_00086,music,77.4,63.9,62.3
user_00086,meditation,90.2,62.3,72.4
user_00086,meditation,89.0,72.4,73.9
user_00087,journal,70.4,28.4,38.9
user_00087,mood,45.3,38.9,44.3
user_00087,journal,44.3,44.3,49.9
user_00087,community,62.3,49.9,45.0
user_00087,mood,28.1,45.0,44.2
user_00087,community,69.9,44.2,54.9
user_00088,meditation,85.2,63.9,78.1
user_00088,journal,52.3,78.1,78.1
user_00088,journal,66.3,78.1,78.4
user_00088,meditation,58.1,78.4,72.6
user_00088,mood,46.7,72.6,61.8
user_00088,mood,37.1,61.8,61.5
user_00088,mood,33.2,61.5,59.6
user_00088,journal,43.3,59.6,60.8
user_00088,mood,66.3,60.8,56.2
user_00088,community,57.9,56.2,55.9
user_00089,meditation,62.1,63.7,61.7
user_00089,mood,36.1,61.7,54.1
user_00089,meditation,69.7,54.1,51.3
user_00089,mood,85.3,51.3,56.8
user_00089,community,60.0,56.8,58.5
user_00089,meditation,84.6,58.5,72.4
user_00089,mood,54.9,72.4,67.4
user_00089,meditation,70.0,67.4,65.1
user_00089,meditation,66.7,65.1,69.8
user_00090,mood,45.2,68.3,63.7
user_00090,meditation,86.5,63.7,67.7
user_00090,community,50.3,67.7,57.9
user_00090,music,68.8,57.9,53.6
user_00090,journal,48.6,53.6,55.3
user_00091,meditation,76.9,39.0,49.5
user_00091,community,50.2,49.5,53.0
user_00091,community,58.3,53.0,52.6
user_00092,community,78.6,36.0,43.0
user_00092,journal,77.8,43.0,45.9
user_00092,mood,60.2,45.9,46.9
user_00092,journal,78.0,46.9,43.0
user_00092,journal,60.6,43.0,54.1
user_00092,journal,58.7,54.1,46.5
user_00092,community,54.7,46.5,43.8
user_00092,meditation,62.0,43.8,45.3
user_00093,journal,69.9,48.4,58.7
user_00093,journal,62.4,58.7,57.4
user_00093,community,54.3,57.4,52.8
user_00093,mood,54.9,52.8,59.4
user_00093,community,67.8,59.4,51.6
user_00093,journal,86.7,51.6,53.4
user_00093,mood,40.6,53.4,52.9
user_00093,community,46.0,52.9,54.3
user_00093,community,55.5,54.3,53.3
user_00094,mood,54.3,79.5,75.7
user_00094,community,44.1,75.7,67.6
user_00094,meditation,61.3,67.6,63.9
user_00094,meditation,82.6,63.9,79.8
user_00094,music,78.4,79.8,82.2
user_00094,mood,35.4,82.2,75.9
user_00094,mood,64.0,75.9,64.8
user_00094,meditation,55.1,64.8,55.1
user_00094,music,79.5,55.1,58.8
user_00095,meditation,82.0,79.6,81.0
user_00095,music,78.0,81.0,84.6
user_00095,meditation,100.0,84.6,91.4
user_00095,mood,76.8,91.4,91.7
user_00095,meditation,98.2,91.7,96.0
user_00095,mood,82.3,96.0,100.0
user_00096,meditation,82.1,53.2,49.4
user_00096,music,56.3,49.4,55.2
user_00096,mood,43.8,55.2,54.3
user_00096,meditation,75.5,54.3,64.3
user_00096,journal,56.4,64.3,65.6
user_00096,music,80.5,65.6,75.8
user_00096,mood,43.6,75.8,68.0
user_00096,mood,53.0,68.0,59.8
user_00097,meditation,69.8,51.0,61.2
user_00097,mood,46.7,61.2,51.3
user_00097,music,55.6,51.3,53.8
user_00097,mood,61.5,53.8,59.7
user_00097,music,95.6,59.7,62.5
user_00097,music,60.8,62.5,58.2
user_00098,journal,74.1,29.2,31.8
user_00098,mood,58.6,31.8,42.0
user_00098,journal,52.4,42.0,44.1
